Date,fatigue,mood,readiness,sleep_duration_h,sleep_quality,soreness,stress,steps,calories,moderately_active_minutes,very_active_minutes,overall_score,deep_sleep_in_minutes,restlessness,sleep_3d_avg,sleep_7d_avg,sleep_score_yesterday,steps_yesterday,steps_3d_avg,fatigue_yesterday,fatigue_3d_avg,stress_yesterday,mood_class
2019-11-16,3.0,4.0,4.0,7.0,4.0,3.0,4.0,10768.0,2733.7999999999997,24,12,85.0,107.0,0.0510887772194304,85.0,85.0,0.0,0.0,10768.0,0.0,3.0,0.0,Neutral
2019-11-17,4.0,4.0,7.0,8.0,4.0,3.0,2.0,6839.0,2967.85,34,49,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10768.0,8803.5,3.0,3.5,4.0,Neutral
2019-11-18,3.0,3.0,5.0,6.0,3.0,2.0,3.0,12851.0,3006.37,19,62,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,6839.0,10152.666666666666,4.0,3.3333333333333335,2.0,Neutral
2019-11-19,2.0,3.0,4.0,7.0,4.0,2.0,2.0,6063.0,2642.2999999999997,8,22,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12851.0,8584.333333333334,3.0,3.0,3.0,Neutral
2019-11-20,2.0,3.0,3.0,6.0,3.0,2.0,2.0,10011.0,3051.39,10,16,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,6063.0,9641.666666666666,2.0,2.3333333333333335,2.0,Neutral
2019-11-22,3.0,3.0,6.0,6.0,4.0,2.0,3.0,11565.0,3116.2,39,45,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10011.0,9213.0,2.0,2.3333333333333335,2.0,Neutral
2019-11-23,3.0,3.0,4.0,7.0,3.0,3.0,3.0,5499.0,2350.3399999999997,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11565.0,9025.0,3.0,2.6666666666666665,3.0,Neutral
2019-11-24,3.0,3.0,6.0,7.0,4.0,2.0,2.0,7000.0,2479.3199999999997,21,24,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,5499.0,8021.333333333333,3.0,3.0,3.0,Neutral
2019-11-25,4.0,4.0,8.0,6.0,4.0,3.0,2.0,17833.0,3554.92,40,94,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7000.0,10110.666666666666,3.0,3.3333333333333335,2.0,Neutral
2019-11-26,2.0,3.0,6.0,6.0,3.0,3.0,2.0,8302.0,2747.81,14,6,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,17833.0,11045.0,4.0,3.0,2.0,Neutral
2019-11-27,3.0,3.0,6.0,6.0,3.0,2.0,3.0,14453.0,3233.1,29,76,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,8302.0,13529.333333333334,2.0,3.0,2.0,Neutral
2019-11-29,4.0,4.0,7.0,7.0,4.0,4.0,3.0,18029.0,3586.09,9,65,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14453.0,13594.666666666666,3.0,3.0,3.0,Neutral
2019-11-30,2.0,3.0,2.0,7.0,3.0,3.0,3.0,14495.0,3270.3,29,49,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,18029.0,15659.0,4.0,3.0,3.0,Neutral
2019-12-01,2.0,3.0,2.0,6.0,2.0,3.0,3.0,7090.0,2615.36,11,21,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14495.0,13204.666666666666,2.0,2.6666666666666665,3.0,Neutral
2019-12-02,3.0,3.0,7.0,7.0,3.0,3.0,3.0,12488.0,3039.49,5,70,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7090.0,11357.666666666666,2.0,2.3333333333333335,3.0,Neutral
2019-12-04,2.0,3.0,6.0,5.0,3.0,3.0,3.0,12803.0,3106.14,48,29,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12488.0,10793.666666666666,3.0,2.3333333333333335,3.0,Neutral
2019-12-05,2.0,3.0,4.0,6.0,4.0,3.0,3.0,6412.0,2495.2799999999997,6,5,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12803.0,10567.666666666666,2.0,2.3333333333333335,3.0,Neutral
2019-12-06,3.0,3.0,7.0,7.0,4.0,4.0,2.0,11494.0,2767.5499999999997,15,63,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,6412.0,10236.333333333334,2.0,2.3333333333333335,3.0,Neutral
2019-12-07,3.0,4.0,6.0,7.0,3.0,2.0,3.0,11124.0,2676.0499999999997,31,35,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11494.0,9676.666666666666,3.0,2.6666666666666665,2.0,Neutral
2019-12-10,3.0,3.0,6.0,6.0,2.0,3.0,2.0,11051.0,2890.21,12,27,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11124.0,11223.0,3.0,3.0,3.0,Neutral
2019-12-11,2.0,3.0,3.0,6.0,2.0,3.0,2.0,14109.0,3045.32,22,56,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11051.0,12094.666666666666,3.0,2.6666666666666665,2.0,Neutral
2019-12-12,3.0,3.0,5.0,6.0,3.0,3.0,3.0,11763.0,2801.41,24,60,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14109.0,12307.666666666666,2.0,2.6666666666666665,2.0,Neutral
2019-12-14,2.0,3.0,3.0,6.0,4.0,2.0,4.0,7282.0,2472.69,7,9,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11763.0,11051.333333333334,3.0,2.3333333333333335,3.0,Neutral
2019-12-15,3.0,3.0,7.0,6.0,4.0,3.0,3.0,8684.0,2689.31,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7282.0,9243.0,2.0,2.6666666666666665,4.0,Neutral
2019-12-16,2.0,3.0,1.0,5.0,2.0,2.0,3.0,7970.0,2581.8,1,8,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,8684.0,7978.666666666667,3.0,2.3333333333333335,3.0,Neutral
2019-12-17,2.0,3.0,4.0,5.0,3.0,3.0,3.0,14029.0,3101.29,23,56,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7970.0,10227.666666666666,2.0,2.3333333333333335,3.0,Neutral
2019-12-18,3.0,3.0,6.0,6.0,3.0,3.0,3.0,11263.0,2843.0499999999997,14,27,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14029.0,11087.333333333334,2.0,2.3333333333333335,3.0,Neutral
2019-12-19,2.0,3.0,5.0,5.0,2.0,2.0,3.0,6531.0,2501.83,24,29,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11263.0,10607.666666666666,3.0,2.3333333333333335,3.0,Neutral
2019-12-21,3.0,3.0,4.0,7.0,3.0,3.0,3.0,7749.0,2418.58,6,7,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,6531.0,8514.333333333334,2.0,2.6666666666666665,3.0,Neutral
2019-12-23,3.0,3.0,4.0,7.0,2.0,4.0,4.0,3636.0,2175.59,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7749.0,5972.0,3.0,2.6666666666666665,3.0,Neutral
2019-12-24,2.0,3.0,3.0,5.0,2.0,3.0,4.0,3636.0,1699.1999999999998,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,3636.0,5007.0,3.0,2.6666666666666665,4.0,Neutral
2019-12-26,3.0,3.0,4.0,9.0,3.0,3.0,3.0,3636.0,1699.1999999999998,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,3636.0,3636.0,2.0,2.6666666666666665,4.0,Neutral
2019-12-28,3.0,4.0,4.0,8.0,3.0,2.0,4.0,3636.0,1699.1999999999998,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,3636.0,3636.0,3.0,2.6666666666666665,3.0,Neutral
2020-01-04,3.0,3.0,4.0,7.0,3.0,3.0,3.0,14869.0,2802.77,55,72,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,3636.0,7380.333333333333,3.0,3.0,4.0,Neutral
2020-01-06,3.0,3.0,6.0,6.0,2.0,2.0,3.0,15374.0,3163.7,50,62,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14869.0,11293.0,3.0,3.0,3.0,Neutral
2020-01-07,3.0,3.0,5.0,6.0,2.0,2.0,3.0,8090.0,2513.0,3,12,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,15374.0,12777.666666666666,3.0,3.0,3.0,Neutral
2020-01-08,4.0,3.0,6.0,6.0,3.0,2.0,3.0,12800.0,2947.13,24,37,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,8090.0,12088.0,3.0,3.3333333333333335,3.0,Neutral
2020-01-09,3.0,3.0,5.0,6.0,4.0,3.0,3.0,7478.0,2517.6,14,21,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12800.0,9456.0,4.0,3.3333333333333335,3.0,Neutral
2020-01-10,3.0,3.0,6.0,6.0,3.0,3.0,3.0,15846.0,3542.95,33,85,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7478.0,12041.333333333334,3.0,3.3333333333333335,3.0,Neutral
2020-01-11,3.0,3.0,6.0,7.0,3.0,3.0,3.0,7741.0,2492.2599999999998,17,21,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,15846.0,10355.0,3.0,3.0,3.0,Neutral
2020-01-12,4.0,3.0,7.0,7.0,4.0,3.0,3.0,20237.0,3666.89,67,64,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7741.0,14608.0,3.0,3.3333333333333335,3.0,Neutral
