User,Model,A_Wearable_Only,B_Wearable_Wellness,C_Plus_Emotions,D_Plus_Themes
p01,LightGBM,0.653923853923854,0.653923853923854,0.8256410256410257,0.8256410256410257
p02,LightGBM,1.0,1.0,1.0,1.0
p03,RandomForest,0.6529029029029029,0.6529029029029029,0.6529029029029029,0.6529029029029029
p04,LightGBM,0.2896825396825397,0.36721578898998253,0.7232676224611708,0.7232676224611708
p05,XGBoost,0.44302549302549304,0.7508108332296463,0.9883597883597884,0.9883597883597884
p06,XGBoost,1.0,1.0,1.0,1.0
p07,LogisticRegression,0.6507936507936508,0.6507936507936508,0.6507936507936508,0.6507936507936508
p08,RandomForest,0.42409158785465406,0.4174319727891156,0.5918367346938775,0.5976087404658833
p09,XGBoost,0.4480548661539561,0.5999579124579125,0.8299319727891157,0.8299319727891157
p10,XGBoost,0.5556599832915623,0.5937430786267995,0.9361111111111112,0.9361111111111112
p11,LightGBM,0.6601307189542484,0.8300653594771242,1.0,1.0
p12,KNN,0.8290598290598291,0.8290598290598291,0.8290598290598291,0.8290598290598291
p13,LogisticRegression,0.3986964681409126,0.3626240619704672,0.40903906671880524,0.3626240619704672
p14,RandomForest,1.0,1.0,1.0,1.0
p15,SVM,0.6023569023569023,0.6023569023569023,0.6023569023569023,0.6023569023569023
p16,LightGBM,0.4781826360773729,0.4781826360773729,0.6536212325686009,0.6536212325686009
